STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/1/18,0,0,0,18,7
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/2/18,0,0,0,26,13
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/3/18,0,0,0,28,12
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/4/18,0.49,8,1.2,29,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/5/18,0,0,7.9,19,9
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/6/18,0,0,7.9,14,7
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/7/18,0,0,7.9,18,4
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/8/18,0.02,0,7.9,32,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/9/18,0,0,7.1,43,26
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/10/18,0,0,5.1,39,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/11/18,0,0,3.1,48,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/12/18,0.45,0,1.2,54,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/13/18,0.08,0,0,53,20
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/14/18,0,0,0,25,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/15/18,0,0,0,30,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/16/18,0,0,0,39,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/17/18,0.22,0.2,0,37,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/18/18,0,0,0,34,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/19/18,0,0,0,38,22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/20/18,0,0,0,54,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/21/18,0,0,0,51,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/22/18,0,0,0,52,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/23/18,0.22,0,0,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/24/18,0,0,0,44,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/25/18,0,0,0,35,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/26/18,0,0,0,36,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/27/18,0,0,0,49,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/28/18,0.26,0,0,50,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/29/18,0,0.1,0,44,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/30/18,0.1,1.4,1.2,36,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/31/18,0,0,0,32,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/1/18,0.05,0,0,41,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/2/18,0.21,0,0,40,17
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/3/18,0,0,0,30,16
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/4/18,0.96,0,0,47,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/5/18,0,0,0,43,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/6/18,0,0,0,36,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/7/18,0.84,0.3,0,46,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/8/18,0,0,0,34,26
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/9/18,0,0,0,38,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/10/18,0.27,0,0,49,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/11/18,1.13,0,0,51,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/12/18,0,0,0,58,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/13/18,0,0,0,36,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/14/18,0.06,0,0,47,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/15/18,0.15,0,0,52,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/16/18,0.11,0,0,59,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/17/18,0.48,2.2,0,38,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/18/18,0.02,0.1,2,45,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/19/18,0.01,0,0,47,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/20/18,0,0,0,64,43
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/21/18,0.03,0,0,65,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/22/18,0.11,0,0,58,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/23/18,0.12,0,0,40,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/24/18,0.08,0,0,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/25/18,1.3,0,0,45,41
